player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Aaron Mooy,MF,Australia,32-094,1990,4.0,5,1.25,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Aaron Ramsey,MF,Wales,31-357,1990,3.0,3,1.02,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,4,2.40,2,1,0,1,0,0,1,0.60,0,1,0,0,0,0
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,4,5.63,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo,DF,Senegal,26-228,1996,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,2,0.92,0,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,1,4.74,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Achraf Dari,DF,Morocco,23-226,1999,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Achraf Hakimi,DF,Morocco,24-044,1998,7.0,14,2.10,12,0,1,0,1,0,1,0.15,1,0,0,0,0,0
Adrien Rabiot,MF,France,27-259,1995,5.4,11,2.05,10,0,0,1,0,0,1,0.19,1,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,24-078,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29-321,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-324,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-166,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Akram Afif,FW,Qatar,26-030,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-119,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Balde,DF,Spain,19-061,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0
Aleksandar Mitrović,FW,Serbia,28-093,1994,2.9,3,1.03,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Alex Sandro,DF,Brazil,31-326,1991,2.1,6,3.09,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alex Telles,DF,Brazil,30-003,1992,0.7,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DF,Denmark,25-009,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
