player,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Aimen Dahmen,GK,Tunisia,25-324,1997,3.0,1,0,0,0,0,2.4,0.24,+1.4,+0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.00,12.0
Alireza Beiranvand,GK,IR Iran,30-088,1992,1.2,1,0,0,0,0,1.8,0.35,+0.8,+0.64,5,16,31.3,22,3,40.9,33.5,9,77.8,53.1,19,0,0.0,0,0.00,4.7
Alisson,GK,Brazil,30-077,1992,4.2,2,0,0,0,0,1.9,0.28,-0.1,-0.02,5,14,35.7,74,12,13.5,23.4,19,21.1,25.6,44,0,0.0,7,1.81,22.0
Andries Noppert,GK,Netherlands,28-255,1994,5.3,4,1,0,0,0,6.5,0.25,+2.5,+0.50,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,1.00,13.3
André Onana,GK,Cameroon,26-260,1996,0.9,1,0,0,0,0,0.9,0.31,-0.1,-0.06,6,20,30.0,50,6,36.0,31.0,9,22.2,28.6,17,0,0.0,0,0.00,13.0
Danny Ward,GK,Wales,29-179,1993,1.0,5,0,1,0,0,3.4,0.38,-1.6,-1.49,12,27,44.4,30,2,60.0,38.7,9,100.0,63.1,14,1,7.1,1,0.96,12.8
Devis Epassy,GK,Cameroon,29-319,1993,2.0,3,0,0,0,0,4.0,0.33,+1.0,+0.50,23,47,48.9,58,11,48.3,38.3,25,76.0,53.4,40,3,7.5,0,0.00,8.2
Diogo Costa,GK,Portugal,23-090,1999,5.0,6,0,0,2,0,6.0,0.35,0.0,-0.01,13,52,25.0,123,22,31.7,33.2,35,37.1,39.6,47,3,6.4,8,1.60,15.9
Dominik Livaković,GK,Croatia,27-343,1995,7.7,7,1,0,1,0,10.5,0.31,+3.5,+0.50,31,63,49.2,178,46,24.2,26.7,50,40.0,34.9,99,8,8.1,3,0.43,10.8
Ederson,GK,Brazil,29-123,1993,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.18,3,4,75.0,25,10,12.0,25.8,6,16.7,29.8,8,0,0.0,2,2.00,15.5
