player,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Aaron Mooy,MF,Australia,32-094,1990,4.0,170,217,78.3,2819,951,78,90,86.7,59,73,80.8,18,31,58.1,0,0.1,0.1,-0.1,1,22,1,0,14
Aaron Ramsey,MF,Wales,31-357,1990,3.0,88,112,78.6,1796,339,37,41,90.2,27,35,77.1,18,23,78.3,0,0.0,0.1,0.0,1,7,1,0,5
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,45,58,77.6,690,122,30,33,90.9,7,13,53.8,7,10,70.0,1,0.9,0.1,+0.1,3,3,0,0,0
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,122,161,75.8,2462,813,57,63,90.5,44,51,86.3,20,37,54.1,0,0.0,0.1,0.0,1,13,1,0,8
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,8,15,53.3,64,11,7,9,77.8,0,4,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,10,13,76.9,118,38,8,9,88.9,2,2,100.0,0,2,0.0,0,0.3,0.4,-0.3,2,0,0,0,2
Abdou Diallo,DF,Senegal,26-228,1996,3.7,139,186,74.7,2852,1121,42,51,82.4,71,79,89.9,22,47,46.8,0,0.1,0.0,-0.1,1,10,1,1,8
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,1,1,100.0,48,36,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,72,91,79.1,973,231,46,53,86.8,17,22,77.3,4,6,66.7,0,0.0,0.0,0.0,1,3,0,0,1
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,74,104,71.2,1677,951,26,35,74.3,26,33,78.8,22,34,64.7,0,0.0,0.0,0.0,0,13,1,0,11
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,66,84,78.6,1057,288,30,32,93.8,31,42,73.8,4,7,57.1,0,0.0,0.0,0.0,0,3,0,0,3
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,5,13,38.5,89,64,2,3,66.7,2,6,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,8,13,61.5,79,19,5,5,100.0,2,5,40.0,0,0,,0,0.0,0.0,0.0,1,0,1,0,1
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,20,29,69.0,311,51,9,9,100.0,11,14,78.6,0,4,0.0,0,0.0,0.0,0.0,0,1,0,0,3
