player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Aaron Mooy,MF,Australia,32-094,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4
Aaron Ramsey,MF,Wales,31-357,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,58,55,3,2,0,2,1,0,1,0,0,0,45,0,1
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,15,14,1,0,0,0,0,0,0,0,0,0,8,0,1
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,13,12,1,0,0,0,1,1,0,0,0,0,10,0,0
Abdou Diallo,DF,Senegal,26-228,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1
Achraf Dari,DF,Morocco,23-226,1999,2.1,111,107,4,4,0,0,0,0,0,0,0,0,99,0,0
Achraf Hakimi,DF,Morocco,24-044,1998,7.0,382,308,73,6,1,5,12,67,0,0,0,0,312,1,8
Adrien Rabiot,MF,France,27-259,1995,5.4,284,277,6,4,0,1,7,2,0,0,0,0,237,1,6
Agustín Canobbio,MF,Uruguay,24-078,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
Ahmed Alaaeldin,FW,Qatar,29-321,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Aimen Dahmen,GK,Tunisia,25-324,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Ajdin Hrustic,MF,Australia,26-166,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0
Akram Afif,FW,Qatar,26-030,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Alan Franco,MF,Ecuador,24-119,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Alejandro Balde,DF,Spain,19-061,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Aleksandar Mitrović,FW,Serbia,28-093,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1
Alex Sandro,DF,Brazil,31-326,1991,2.1,169,144,24,3,0,0,4,21,0,0,0,0,150,1,2
