player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Aaron Mooy,MF,Australia,32-094,1990,4.0,0,1,0,0.0,0.25,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Aaron Ramsey,MF,Wales,31-357,1990,3.0,0,1,0,0.0,0.34,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Abdelhamid Sabiri,MF,Morocco,26-020,1996,2.0,0,3,0,0.0,1.49,0.00,0.00,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,0,6,0,0.0,2.00,0.00,0.00,,23.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,0,2,1,50.0,2.65,1.32,0.00,0.00,7.8,0,0,0,0.4,0.4,0.20,-0.4,-0.4
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,0,1,0,0.0,0.97,0.00,0.00,,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Abdou Diallo,DF,Senegal,26-228,1996,3.7,0,1,0,0.0,0.27,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,0,1,0,0.0,0.49,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,0,2,0,0.0,1.03,0.00,0.00,,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,0.4,0,1,0,0.0,2.57,0.00,0.00,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Achraf Dari,DF,Morocco,23-226,1999,2.1,1,1,1,100.0,0.48,0.48,1.00,1.00,4.1,0,0,0,0.6,0.6,0.63,+0.4,+0.4
Achraf Hakimi,DF,Morocco,24-044,1998,7.0,0,4,1,25.0,0.57,0.14,0.00,0.00,26.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Adrien Rabiot,MF,France,27-259,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.3,0,0,0,1.1,1.1,0.12,-0.1,-0.1
Agustín Canobbio,MF,Uruguay,24-078,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,0,5,1,20.0,2.02,0.40,0.00,0.00,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
