,Name_Player
0,Hernán Galíndez
1,Félix Torres
2,Piero Hincapié
3,Robert Arboleda
4,José Cifuentes
5,William Pacho
6,Pervis Estupiñán
7,Carlos Gruezo
8,Ayrton Preciado
9,Romario Ibarra
10,Michael Estrada
11,Moisés Ramírez
12,Enner Valencia (captain)
13,Xavier Arreaga
14,Ángel Mena
15,Jeremy Sarmiento
16,Ángelo Preciado
17,Diego Palacios
18,Gonzalo Plata
19,Sebas Méndez
20,Alan Franco
21,Alexander Domínguez
22,Moisés Caicedo
23,Djorkaeff Reasco
24,Jackson Porozo
25,Kevin Rodríguez
26,Remko Pasveer
27,Jurriën Timber
28,Matthijs de Ligt
29,Virgil van Dijk (captain)
30,Nathan Aké
31,Stefan de Vrij
32,Steven Bergwijn
33,Cody Gakpo
34,Luuk de Jong
35,Memphis Depay
36,Steven Berghuis
37,Noa Lang
38,Justin Bijlow
39,Davy Klaassen
40,Marten de Roon
41,Tyrell Malacia
42,Daley Blind
43,Vincent Janssen
44,Wout Weghorst
45,Teun Koopmeiners
46,Frenkie de Jong
47,Denzel Dumfries
48,Andries Noppert
49,Kenneth Taylor
50,Xavi Simons
51,Jeremie Frimpong
52,Saad Al-Sheeb
53,Ró-Ró
54,Abdelkarim Hassan
55,Mohammed Waad
56,Tarek Salman
57,Abdulaziz Hatem
58,Ahmed Alaaeldin
59,Ali Assadalla
60,Mohammed Muntari
61,Hassan Al-Haydos (captain)
62,Akram Afif
63,Karim Boudiaf
64,Musab Kheder
65,Homam Ahmed
66,Bassam Al-Rawi
67,Boualem Khoukhi
68,Ismaeel Mohammad
69,Khalid Muneer
70,Almoez Ali
71,Salem Al-Hajri
72,Yousef Hassan
73,Meshaal Barsham
74,Assim Madibo
75,Naif Al-Hadhrami
76,Jassem Gaber
77,Mostafa Meshaal
78,Seny Dieng
79,Formose Mendy
80,Kalidou Koulibaly (captain)
81,Pape Abou Cissé
82,Idrissa Gueye
83,Nampalys Mendy
84,Nicolas Jackson
85,Cheikhou Kouyaté
86,Boulaye Dia
87,Moussa N'Diaye
88,Pathé Ciss
89,Fodé Ballo-Touré
90,Iliman Ndiaye
91,Ismail Jakobs
92,Krépin Diatta
93,Édouard Mendy
94,Pape Matar Sarr
95,Ismaïla Sarr
96,Famara Diédhiou
97,Bamba Dieng
98,Youssouf Sabaly
99,Abdou Diallo
100,Alfred Gomis
101,Moustapha Name
102,Mamadou Loum
103,Pape Gueye
104,Jordan Pickford
105,Kyle Walker
106,Luke Shaw
107,Declan Rice
108,John Stones
109,Harry Maguire
110,Jack Grealish
111,Jordan Henderson
112,Harry Kane (captain)
113,Raheem Sterling
114,Marcus Rashford
115,Kieran Trippier
116,Nick Pope
117,Kalvin Phillips
118,Eric Dier
119,Conor Coady
120,Bukayo Saka
121,Trent Alexander-Arnold
122,Mason Mount
123,Phil Foden
124,Ben White
125,Jude Bellingham
126,Aaron Ramsdale
127,Callum Wilson
128,James Maddison
129,Conor Gallagher
130,Alireza Beiranvand
131,Sadegh Moharrami
132,Ehsan Hajsafi (captain)
133,Shojae Khalilzadeh
134,Milad Mohammadi
135,Saeid Ezatolahi
136,Alireza Jahanbakhsh
137,Morteza Pouraliganji
138,Mehdi Taremi
139,Karim Ansarifard
140,Vahid Amiri
141,Payam Niazmand
142,Hossein Kanaanizadegan
143,Saman Ghoddos
144,Rouzbeh Cheshmi
