id,date,score_home,score_away,home_formation,away_formation
145,2009-02-28 00:00:00,1,1,4-4-2,4-4-2
146,2009-02-27 00:00:00,2,1,4-4-2,4-4-2
147,2009-02-28 00:00:00,3,0,4-4-2,4-4-2
148,2009-03-01 00:00:00,4,0,4-4-2,4-4-2
149,2009-03-01 00:00:00,0,1,4-4-2,4-4-2
150,2009-02-28 00:00:00,2,1,4-4-2,4-4-2
151,2009-02-28 00:00:00,3,0,4-4-2,4-4-2
152,2009-02-28 00:00:00,4,0,4-4-2,4-4-2
153,2009-02-28 00:00:00,1,1,4-4-2,4-4-2
154,2009-03-08 00:00:00,1,3,4-4-2,4-4-2
155,2009-03-06 00:00:00,0,1,4-4-2,4-4-2
156,2009-03-07 00:00:00,2,0,4-4-2,4-4-2
157,2009-03-07 00:00:00,2,3,4-4-2,4-4-2
158,2009-03-07 00:00:00,4,3,4-4-2,4-4-2
159,2009-03-08 00:00:00,0,1,4-4-2,4-4-2
160,2009-03-07 00:00:00,2,0,4-4-2,4-4-2
161,2009-03-07 00:00:00,2,0,4-4-2,4-4-2
162,2009-03-07 00:00:00,0,0,4-4-2,4-4-2
163,2009-03-13 00:00:00,2,1,4-4-2,4-4-2
164,2009-03-15 00:00:00,2,0,4-4-2,4-4-2
165,2009-03-14 00:00:00,2,0,4-4-2,4-4-2
166,2009-03-14 00:00:00,0,0,4-4-2,4-4-2
167,2009-03-14 00:00:00,1,0,4-4-2,4-4-2
168,2009-03-15 00:00:00,1,4,4-4-2,4-4-2
169,2009-03-14 00:00:00,0,0,4-4-2,4-4-2
170,2009-03-14 00:00:00,1,0,4-4-2,4-4-2
171,2009-03-14 00:00:00,1,2,4-4-2,4-4-2
172,2009-03-20 00:00:00,2,3,4-4-2,4-4-2
173,2009-03-22 00:00:00,1,0,4-4-2,4-4-2
174,2009-03-22 00:00:00,1,0,4-4-2,4-4-2
175,2009-03-21 00:00:00,0,2,4-4-2,4-4-2
176,2009-03-21 00:00:00,3,1,4-4-2,4-4-2
177,2009-03-21 00:00:00,1,0,4-4-2,4-4-2
178,2009-03-21 00:00:00,0,1,4-4-2,4-4-2
179,2009-03-21 00:00:00,3,0,4-4-2,4-4-2
180,2009-03-21 00:00:00,2,0,4-4-2,4-4-2
181,2009-04-05 00:00:00,0,0,4-4-2,4-4-2
182,2009-04-04 00:00:00,3,2,4-4-2,4-4-2
183,2009-04-04 00:00:00,2,1,4-4-2,4-4-2
184,2009-04-04 00:00:00,3,1,4-4-2,4-4-2
185,2009-04-04 00:00:00,1,1,4-4-2,4-4-2
186,2009-04-04 00:00:00,0,1,4-4-2,4-4-2
187,2009-04-04 00:00:00,1,1,4-4-2,4-4-2
188,2009-04-04 00:00:00,1,4,4-4-2,4-4-2
189,2009-04-05 00:00:00,3,1,4-4-2,4-4-2
190,2009-04-12 00:00:00,1,0,4-4-2,4-4-2
191,2009-04-10 00:00:00,1,0,4-4-2,4-4-2
192,2009-04-11 00:00:00,1,2,4-4-2,4-4-2
193,2009-04-11 00:00:00,1,0,4-4-2,4-4-2
194,2009-04-11 00:00:00,1,2,4-4-2,4-4-2
195,2009-04-11 00:00:00,0,1,4-4-2,4-4-2
196,2009-04-11 00:00:00,1,0,4-4-2,4-4-2
197,2009-04-11 00:00:00,4,1,4-4-2,4-4-2
208,2009-04-19 00:00:00,0,1,4-4-2,4-4-2
209,2009-04-18 00:00:00,0,3,4-4-2,4-4-2
210,2009-04-18 00:00:00,3,2,4-4-2,4-4-2
211,2009-04-18 00:00:00,3,1,4-4-2,4-4-2
212,2009-04-18 00:00:00,0,1,4-4-2,4-4-2
213,2009-04-17 00:00:00,2,2,4-4-2,4-4-2
214,2009-04-19 00:00:00,3,1,4-4-2,4-4-2
215,2009-04-18 00:00:00,5,1,4-4-2,4-4-2
216,2009-04-18 00:00:00,1,0,4-4-2,4-4-2
217,2009-04-24 00:00:00,2,0,4-4-2,4-4-2
218,2009-04-26 00:00:00,1,2,4-4-2,4-4-2
219,2009-04-25 00:00:00,1,0,4-4-2,4-4-2
220,2009-04-26 00:00:00,1,3,4-4-2,4-4-2
221,2009-04-25 00:00:00,4,0,4-4-2,4-4-2
222,2009-04-25 00:00:00,4,1,4-4-2,4-4-2
223,2009-04-25 00:00:00,3,0,4-4-2,4-4-2
224,2009-04-25 00:00:00,2,2,4-4-2,4-4-2
225,2009-04-25 00:00:00,0,2,4-4-2,4-4-2
226,2009-05-03 00:00:00,1,1,4-4-2,4-4-2
227,2009-05-02 00:00:00,0,0,4-4-2,4-4-2
228,2009-05-02 00:00:00,0,0,4-4-2,4-4-2
229,2009-05-02 00:00:00,2,1,4-4-2,4-4-2
230,2009-05-02 00:00:00,2,1,4-4-2,4-4-2
231,2009-05-01 00:00:00,2,3,4-4-2,4-4-2
232,2009-05-02 00:00:00,1,0,4-4-2,4-4-2
233,2009-05-03 00:00:00,0,1,4-4-2,4-4-2
234,2009-05-02 00:00:00,3,1,4-4-2,4-4-2
235,2009-05-09 00:00:00,2,0,4-4-2,4-4-2
236,2009-05-09 00:00:00,3,0,4-4-2,4-4-2
237,2009-05-09 00:00:00,0,2,4-4-2,4-4-2
238,2009-05-09 00:00:00,0,2,4-4-2,4-4-2
239,2009-05-09 00:00:00,0,2,4-4-2,4-4-2
240,2009-05-08 00:00:00,3,1,4-4-2,4-4-2
241,2009-05-09 00:00:00,3,1,4-4-2,4-4-2
242,2009-05-09 00:00:00,1,1,4-4-2,4-4-2
243,2009-05-09 00:00:00,2,1,4-4-2,4-4-2
244,2009-05-16 00:00:00,0,2,4-4-2,4-4-2
245,2009-05-16 00:00:00,0,1,4-4-2,4-4-2
246,2009-05-16 00:00:00,3,0,4-4-2,4-4-2
247,2009-05-16 00:00:00,1,2,4-4-2,4-4-2
248,2009-05-16 00:00:00,1,2,4-4-2,4-4-2
249,2009-05-15 00:00:00,3,0,4-4-2,4-4-2
250,2009-05-16 00:00:00,4,1,4-4-2,4-4-2
251,2009-05-16 00:00:00,1,3,4-4-2,4-4-2
252,2009-05-16 00:00:00,1,0,4-4-2,4-4-2
307,2009-07-31 00:00:00,2,2,4-4-2,4-4-2
308,2009-08-02 00:00:00,1,2,4-4-2,4-4-2
309,2009-08-02 00:00:00,1,3,4-4-2,4-4-2
310,2009-08-01 00:00:00,1,1,4-4-2,4-4-2
311,2009-08-01 00:00:00,0,2,4-4-2,4-4-2
312,2009-08-01 00:00:00,4,1,4-4-2,4-4-2
313,2009-08-01 00:00:00,1,1,4-4-2,4-4-2
314,2009-10-04 00:00:00,4,2,4-4-2,4-4-2
315,2009-10-04 00:00:00,1,0,4-4-2,4-4-2
316,2009-10-03 00:00:00,1,2,4-4-2,4-4-2
317,2009-10-03 00:00:00,3,3,4-4-2,4-4-2
318,2009-10-03 00:00:00,2,0,4-4-2,4-4-2
319,2009-10-03 00:00:00,3,2,4-4-2,4-4-2
