Formation,Goals,Goals Against,Possession,Crosses,Shot On,Shot Off,Shot On Against,Shot Off Against
04/04/2002,0.7415458937198067,0.77067023104831,0.746666798690979,0.7835080920902668,0.7565997659196325,0.7914241960183769,0.8277137157592566,0.8341635633796005
04/05/2001,0.09799861973775018,0.1665075424861562,0.12341632711663852,0.12497150672441304,0.11530625514760066,0.12413038722380224,0.1716051184741887,0.17371959181699473
4-3-2-1,0.06211180124223603,0.07676150467825091,0.06846120713129322,0.06264246637793482,0.06450214573670293,0.07118792386786262,0.07711769571352113,0.07912172945785172
4-3-1-2,0.2011732229123534,0.1949589459614283,0.2018783759029225,0.1874572600866196,0.19784125883219902,0.20918836140888206,0.2056634068019267,0.22967548483822608
4-2-3-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4-4-1-1,0.19444444444444448,0.26885621539049076,0.22605862869647445,0.24649532710280378,0.22198621526724174,0.23373441260118136,0.2799591300540067,0.2830197804323645
04/03/2003,0.6444099378881988,0.5337025014321176,0.6041597560190709,0.5568298381581948,0.5905760977935758,0.6018376722817764,0.5824940397995425,0.5925424384581903
4-1-4-1,0.1012767425810904,0.15123162115715105,0.12675324160944237,0.11885969911100983,0.11994451428323726,0.12351782979654342,0.15024570622293582,0.14247714852251292
05/03/2002,0.016045548654244308,0.0408630895550888,0.022125624433739475,0.021882835650786414,0.020070224110277857,0.022270837891052286,0.0325013380041843,0.03003337041156841
4-1-3-2,0.011559696342305036,0.016612564445293108,0.01595183753088131,0.015058696147709142,0.015475313190862195,0.014963902865893679,0.016639906582980583,0.015282681240025148
4-1-2-1-2,0.0986887508626639,0.10177582585449683,0.09236420886906323,0.08778778208342833,0.09059777190168623,0.09477138481732662,0.09297912713472485,0.09585529815737294
03/05/2002,0.091959972394755,0.11838839029978997,0.10624161439329052,0.10303168452245272,0.10654991547097838,0.10977904178516737,0.11954459203036052,0.12564685399235864
5-3-1-1,0.0,0.0,0.0,0.0,4.334821622090246e-05,0.0,0.0,0.0
4-1-2-3,0.024499654934437544,0.021195340843994655,0.021219607590737835,0.020016526099840438,0.019289956218301613,0.022358346094946403,0.021456721646474962,0.022005126469023552
03/04/2003,0.05055210489993099,0.05480236776780599,0.054034250407212485,0.046743218600410315,0.053578395249035494,0.051629840297527894,0.05454191602199191,0.056100981767180924
3-4-2-1,0.04123533471359559,0.03513461905671186,0.04047865414416065,0.03630043309778893,0.03736616238241796,0.039334937650404724,0.03610178562740232,0.03569183150360304
3-4-1-2,0.021394064872325744,0.02444147412640825,0.021927587965323816,0.020329952131297017,0.019983527677836056,0.023014657624152265,0.02559237094341458,0.02277893311408812
4-2-1-3,0.009834368530020704,0.005155623448539239,0.007441220300718377,0.00824880328242535,0.006328839568251767,0.0066506234959527455,0.006325110689437065,0.007834792281278716
4-2-2-2,0.04123533471359559,0.0467825090700783,0.041285652752954455,0.03708399817643038,0.03988035892323031,0.038678626121198864,0.044081156035615236,0.04164047008753688
3-5-1-1,0.020876466528640444,0.028069505442046977,0.024393141997098768,0.023706405288351953,0.02319129567818284,0.026514985779916865,0.029873984333187366,0.03254824200802825
05/04/2001,0.010006901311249138,0.029406148558334927,0.012753548565968421,0.010927171187599729,0.009623304001040356,0.010807263180923211,0.02374349243419452,0.02040915026357789
4-2-1-1-2,0.001380262249827467,0.0015275921329005154,0.00039112202512092605,0.0001852062913152498,0.0,0.0004375410194705754,0.0006325110689437063,0.0009672583063307057
3-3-3-1,0.002760524499654934,0.002100439182738209,0.0025695231776931724,0.0019660360155003423,0.00260089297325415,0.002275213301246992,0.0012163674402763584,0.0010639841369637763
4-1-2-2-1,0.0036231884057971015,0.0024823372159633377,0.002262566651648901,0.002208228857989515,0.0019506697299406124,0.0021439509954058193,0.0022867707877195537,0.002756686173042511
3-2-3-2,0.002242926155969634,0.0013366431162879513,0.0017922300391617115,0.001609870070663324,0.0017772768650570028,0.0016626558739881864,0.0018488785092200647,0.0014025245441795233
